date,weekday,week_number,month,post_slot,camera,camera_submode,format,look,scene_type,cast,sibling_canon,concept,prompt_seed,caption_type,caption,product,product_sku,seasonal_hook,notes
2026-09-25,Friday,39,September,fri,Camera A,,landscape_kitchen,AVAILABLE,KITCHEN,GRAPPLER,COUNTER,Steam and lists; kitchen as base camp.,"[Camera A landscape landscape_kitchen, phone documentary] + [GOLD HOUR] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [grappler plating plain food, kettle steam, no smile] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [shared training house counter] + [protein scoop in sink, cut lemon half, rice cooker lid ajar, shopping list magnet] + [low warm sun, long shadows, rare probation use] + [slight dutch tilt, horizon not level] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,"rice, eggs, greens. no plating speech.",no,,UCI Road Worlds Montreal week atmosphere; MTB marathon season ending,
2026-09-26,Saturday,39,September,sat,Camera A,POV,4:5,FLAT GREY,SMEAR,OPERATOR,MIRROR,Colour and weather left on the body and glass.,"[Camera A POV 4:5, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [operator moving through wet or chalked space, smear in foreground] + [utility pants, black base layer, tape on one finger] + [red chalk smear on floor] + [rain on camera glass, glove left behind, tape peel, mud streak on shin] + [overcast flat grey, no drama] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,asphalt holds the day longer.,no,,UCI Road Worlds Montreal week atmosphere; MTB marathon season ending,
2026-09-28,Monday,40,September,mon,Camera A,POV,9:16,FLAT GREY,ROAD,GRAPPLER,AISLE,"Longer autumn or winter roll, no podium.","[Camera A POV 9:16, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [grappler climbing or rolling, gaze ahead, traffic blur] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [Limmatquai dawn] + [flat tire mark, bidon in gutter, map print wet, muddy cleat scrape] + [overcast flat grey, no drama] + [HDR haloing on window edges] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,changing room after heat.,no,,UCI Road Worlds Montreal week atmosphere; MTB marathon season ending,
2026-09-29,Tuesday,40,September,tue,Camera B,,4:5,SILVER,SWEAT,ENGINE,BETWEEN ROUNDS,Heat still in the room after the last pull.,"[Camera B 4:5, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [engine mid-interval, breathing hard, unfinished rep] + [plain grey tee dark with sweat, compression tights, cheap watch] + [mat room after open mat] + [chalk block cracked, water bottle on side, towel knotted, HR strap dangling] + [cool silver ambient, fluorescent or overcast] + [negative space uneven, subject off-third] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,heat still sits in the stairwell after.,no,,UCI Road Worlds Montreal week atmosphere; MTB marathon season ending,
2026-10-01,Thursday,40,October,thu,Camera A,HANDED,1:1,FLAT GREY,SMEAR,ROULEUR,MIRROR,"Red chalk and rain as texture, not drama.","[Camera A HANDED 1:1, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur moving through wet or chalked space, smear in foreground] + [worn Rapha jersey under open gilet, grease-marked gloves] + [gym mirror fogged] + [tape peel, rain on camera glass, glove left behind, mud streak on shin] + [overcast flat grey, no drama] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,steam on the mirror means the room worked.,no,,autumn base; wet roads; longer rides; Hyrox season deep,texture priority over face
2026-10-02,Friday,40,October,fri,Camera A,HANDED,1:1,AVAILABLE,PROOF,MILER,NOTEBOOK,Numbers before narrative; log first.,"[Camera A HANDED 1:1, phone documentary] + [SILVER] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [miler logging numbers, head down, pen moving] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [printed week plan taped to fridge] + [coffee ring stain, old pace printout, pen uncapped, torn race bib edge] + [cool silver ambient, fluorescent or overcast] + [lens distortion at frame edge, barrel bend] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,longer rides in the book now.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-03,Saturday,40,October,sat,Camera A,SELF,1:1,AVAILABLE,PREP,GRAPPLER,FUEL LAY,Quiet assembly before leaving the flat.,"[Camera A SELF 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [grappler packing bag, checking straps, quiet focus] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [stairwell with gear stacked] + [shoes untied, bib number loose, gel wrappers crumpled, belt coiled] + [mixed available light, practical lamps, window spill] + [thumb partially in frame, handed camera shake] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,intervals done. floor still wet.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-05,Monday,41,October,mon,Screen,,screen,AVAILABLE,SMEAR,FIGHTER,NOTEBOOK,"Red chalk and rain as texture, not drama.","[Screen screen] + [FLAT GREY] + [UI close, phone screen in hand or on counter] + [fighter training log or map visible, thumb edge] + [plain sleeve cuff] + [kitchen or gym bench] + [pen, coffee ring, charging cable, notebook corner] + [overcast flat grey, no drama] + [screen glare, fingerprint smudge] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,numbers written. bag still open.,no,,autumn base; wet roads; longer rides; Hyrox season deep,story candidate; UI mock from real log; texture priority over face
2026-10-06,Tuesday,41,October,tue,Camera B,,2.39:1,SILVER,KITCHEN,ENGINE,COAST,Steam and lists; kitchen as base camp.,"[Camera B 2.39:1, still photographer, sibling feel COAST] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [engine plating plain food, kettle steam, no smile] + [plain grey tee dark with sweat, compression tights, cheap watch] + [morning prep island] + [rice cooker lid ajar, shopping list magnet, cut lemon half, protein scoop in sink] + [cool silver ambient, fluorescent or overcast] + [negative space uneven, subject off-third] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,"shopping list longer, still plain.",no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-08,Thursday,41,October,thu,Camera A,POV,4:5,AVAILABLE,PROOF,FIGHTER,NOTEBOOK,Paper and screen as training memory.,"[Camera A POV 4:5, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter logging numbers, head down, pen moving] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [kitchen counter with notebook] + [old pace printout, pen uncapped, coffee ring stain, torn race bib edge] + [mixed available light, practical lamps, window spill] + [slight dutch tilt, horizon not level] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,intervals done. floor still wet.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-09,Friday,41,October,fri,Camera B,,4:5,SILVER,GYM,MILER,GRAPPLE,Hardware and chalk without a PR face.,"[Camera B 4:5, still photographer, sibling feel GRAPPLE] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [miler between sets, hands on knees, empty bay] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [rings and chalk bucket] + [timer blinking, bumper plate on edge, wrist wraps draped, jump rope coiled wrong] + [cool silver ambient, fluorescent or overcast] + [depth falloff too abrupt mid-body] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"basement gym, zurich. same smell as always.",no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-10,Saturday,41,October,sat,Camera A,SELF,4:5,FLAT GREY,ROAD,OPERATOR,AISLE,"Longer autumn or winter roll, no podium.","[Camera A SELF 4:5, phone documentary] + [FLAT GREY] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [operator climbing or rolling, gaze ahead, traffic blur] + [utility pants, black base layer, tape on one finger] + [Limmatquai dawn] + [map print wet, muddy cleat scrape, bidon in gutter, flat tire mark] + [overcast flat grey, no drama] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,wet climb off the albis. cars indifferent.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-12,Monday,42,October,mon,Camera A,POV,1:1,AVAILABLE,GYM,MILER,STAIRWELL,Empty bay between sets; work unfinished.,"[Camera A POV 1:1, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [miler between sets, hands on knees, empty bay] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [sled lane after last pull] + [wrist wraps draped, timer blinking, bumper plate on edge, jump rope coiled wrong] + [mixed available light, practical lamps, window spill] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"autumn path, soft underfoot.",no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-13,Tuesday,42,October,tue,Camera B,,2.39:1,SILVER,ROAD,OPERATOR,WET STREET,"Longer autumn or winter roll, no podium.","[Camera B 2.39:1, still photographer, sibling feel WET STREET] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [operator climbing or rolling, gaze ahead, traffic blur] + [utility pants, black base layer, tape on one finger] + [gravel shoulder near airport] + [map print wet, flat tire mark, bidon in gutter, muddy cleat scrape] + [cool silver ambient, fluorescent or overcast] + [flare streak cutting face out of frame] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",place,"basement gym, zurich. same smell as always.",yes,MOTS-C+,autumn base; wet roads; longer rides; Hyrox season deep,product peripheral only; lifestyle-first
2026-10-15,Thursday,42,October,thu,Camera A,POV,9:16,AVAILABLE,SMEAR,ENGINE,MIRROR,A smear that proves the session happened.,"[Camera A POV 9:16, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [engine moving through wet or chalked space, smear in foreground] + [plain grey tee dark with sweat, compression tights, cheap watch] + [window rain streaks] + [rain on camera glass, mud streak on shin, tape peel, glove left behind] + [mixed available light, practical lamps, window spill] + [slight dutch tilt, horizon not level] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,chalk dust under the last pull.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-16,Friday,42,October,fri,Camera B,,2.39:1,SILVER,SMEAR,ENGINE,RED SMEAR,Colour and weather left on the body and glass.,"[Camera B 2.39:1, still photographer, sibling feel RED SMEAR] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [engine moving through wet or chalked space, smear in foreground] + [plain grey tee dark with sweat, compression tights, cheap watch] + [window rain streaks] + [tape peel, rain on camera glass, mud streak on shin, glove left behind] + [cool silver ambient, fluorescent or overcast] + [motion blur on trailing limb] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,leaves in the cleat grooves again.,no,,autumn base; wet roads; longer rides; Hyrox season deep,texture priority over face
2026-10-17,Saturday,42,October,sat,Camera A,HANDED,9:16,AVAILABLE,PROOF,ENGINE,NOTEBOOK,Numbers before narrative; log first.,"[Camera A HANDED 9:16, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [engine logging numbers, head down, pen moving] + [plain grey tee dark with sweat, compression tights, cheap watch] + [printed week plan taped to fridge] + [pen uncapped, torn race bib edge, coffee ring stain, old pace printout] + [mixed available light, practical lamps, window spill] + [slight dutch tilt, horizon not level] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,intervals done. floor still wet.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-19,Monday,43,October,mon,Camera A,HANDED,1:1,AVAILABLE,SMEAR,OPERATOR,MIRROR,Colour and weather left on the body and glass.,"[Camera A HANDED 1:1, phone documentary] + [SILVER] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [operator moving through wet or chalked space, smear in foreground] + [utility pants, black base layer, tape on one finger] + [gym mirror fogged] + [rain on camera glass, glove left behind, tape peel, mud streak on shin] + [cool silver ambient, fluorescent or overcast] + [HDR haloing on window edges] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,chalk dust under the last pull.,no,,autumn base; wet roads; longer rides; Hyrox season deep,texture priority over face
2026-10-20,Tuesday,43,October,tue,Camera B,,1:1,SILVER,SWEAT,MILER,BETWEEN ROUNDS,"Interval residue: wet floor, unfinished set.","[Camera B 1:1, still photographer, sibling feel BETWEEN ROUNDS] + [GOLD HOUR] + [50mm, warm low sun skim, gentle falloff] + [miler mid-interval, breathing hard, unfinished rep] + [faded Asics singlet, chalk-dusted shorts, mismatched socks] + [basement gym Zurich] + [towel knotted, water bottle on side, chalk block cracked, HR strap dangling] + [low warm sun, long shadows, rare probation use] + [focus soft on nearest plane] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,chalk dust under the last pull.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-22,Thursday,43,October,thu,Camera B,,1:1,SILVER,SWEAT,OPERATOR,BETWEEN ROUNDS,Mid-session breath catch with no hero angle.,"[Camera B 1:1, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [operator mid-interval, breathing hard, unfinished rep] + [utility pants, black base layer, tape on one finger] + [indoor track lanes 3-4] + [HR strap dangling, chalk block cracked, towel knotted, water bottle on side] + [cool silver ambient, fluorescent or overcast] + [negative space uneven, subject off-third] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,rain finds every seam in the jacket.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-23,Friday,43,October,fri,Camera A,,landscape_kitchen,AVAILABLE,KITCHEN,FIGHTER,COUNTER,Morning plate before the second session.,"[Camera A landscape landscape_kitchen, phone documentary] + [SILVER] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter plating plain food, kettle steam, no smile] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [small Zurich flat kitchen] + [shopping list magnet, cut lemon half, rice cooker lid ajar, protein scoop in sink] + [cool silver ambient, fluorescent or overcast] + [thumb partially in frame, handed camera shake] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,soup week starts without ceremony.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-24,Saturday,43,October,sat,Camera B,,1:1,SILVER,SWEAT,ENGINE,BETWEEN ROUNDS,"Interval residue: wet floor, unfinished set.","[Camera B 1:1, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [engine mid-interval, breathing hard, unfinished rep] + [plain grey tee dark with sweat, compression tights, cheap watch] + [basement gym Zurich] + [towel knotted, water bottle on side, HR strap dangling, chalk block cracked] + [cool silver ambient, fluorescent or overcast] + [flare streak cutting face out of frame] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,chalk dust under the last pull.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-26,Monday,44,October,mon,Camera A,SELF,9:16,AVAILABLE,PREP,ENGINE,FUEL LAY,Kit check in a hallway that is not photogenic.,"[Camera A SELF 9:16, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [engine packing bag, checking straps, quiet focus] + [plain grey tee dark with sweat, compression tights, cheap watch] + [stairwell with gear stacked] + [bib number loose, gel wrappers crumpled, belt coiled, shoes untied] + [mixed available light, practical lamps, window spill] + [oversharpened fabric texture, phone processing artifacts] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,autumn base started. wet shoes by the door.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-27,Tuesday,44,October,tue,Camera B,,2.39:1,SILVER,KITCHEN,GRAPPLER,COAST,Morning plate before the second session.,"[Camera B 2.39:1, still photographer, sibling feel COAST] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [grappler plating plain food, kettle steam, no smile] + [damp gi pants half-on, rashguard rolled, chalk on knuckles] + [hotel kitchenette before race] + [rice cooker lid ajar, shopping list magnet, protein scoop in sink, cut lemon half] + [cool silver ambient, fluorescent or overcast] + [flare streak cutting face out of frame] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,soup week starts without ceremony.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-29,Thursday,44,October,thu,Camera B,,1:1,SILVER,SWEAT,ENGINE,BETWEEN ROUNDS,Heat still in the room after the last pull.,"[Camera B 1:1, still photographer, sibling feel BETWEEN ROUNDS] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [engine mid-interval, breathing hard, unfinished rep] + [plain grey tee dark with sweat, compression tights, cheap watch] + [mat room after open mat] + [HR strap dangling, water bottle on side, towel knotted, chalk block cracked] + [cool silver ambient, fluorescent or overcast] + [motion blur on trailing limb] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,leaves in the cleat grooves again.,no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-30,Friday,44,October,fri,Camera A,,landscape_kitchen,AVAILABLE,KITCHEN,ROULEUR,COUNTER,Morning plate before the second session.,"[Camera A landscape landscape_kitchen, phone documentary] + [AVAILABLE] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [rouleur plating plain food, kettle steam, no smile] + [worn Rapha jersey under open gilet, grease-marked gloves] + [small Zurich flat kitchen] + [protein scoop in sink, shopping list magnet, rice cooker lid ajar, cut lemon half] + [mixed available light, practical lamps, window spill] + [HDR haloing on window edges] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",kitchen,"cut lemon, kettle, quiet counter.",no,,autumn base; wet roads; longer rides; Hyrox season deep,
2026-10-31,Saturday,44,October,sat,Camera A,HANDED,4:5,AVAILABLE,SMEAR,FIGHTER,MIRROR,A smear that proves the session happened.,"[Camera A HANDED 4:5, phone documentary] + [GOLD HOUR] + [phone wide ~24mm equivalent, deep focus, HDR processing, edge distortion, over-sharpening; HDR, lens distortion, over-sharpening, slight tilt] + [fighter moving through wet or chalked space, smear in foreground] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [gym mirror fogged] + [tape peel, mud streak on shin, glove left behind, rain on camera glass] + [low warm sun, long shadows, rare probation use] + [lens distortion at frame edge, barrel bend] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",flat observation,rain finds every seam in the jacket.,no,,autumn base; wet roads; longer rides; Hyrox season deep,texture priority over face
2026-11-02,Monday,45,November,mon,Camera B,,3:2,SILVER,PREP,FIGHTER,BOXER CROP,Quiet assembly before leaving the flat.,"[Camera B 3:2, still photographer, sibling feel BOXER CROP] + [SILVER] + [35mm or 50mm, shallow mid depth, desaturated cool silver grade] + [fighter packing bag, checking straps, quiet focus] + [cut-sleeve hoodie, hand-wrap residue, scuffed Nike Metcons] + [car boot before session] + [belt coiled, shoes untied, bib number loose, gel wrappers crumpled] + [cool silver ambient, fluorescent or overcast] + [focus soft on nearest plane] + no one looking at camera, no posing, no logos on footwear, documentary photograph not advertising",log,long ride in the book. legs quiet.,no,,darker mornings; indoor fight and mat volume up,
